LogP,SMILES,TPSA,formula,hbond_acceptors,hbond_donors,num_atoms,num_bonds,rotatable_bonds,weight
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
1.43638,O=C(NCC#N)OCc1ccccc1,62.120000000000005,C10H10N2O2,3.0,1.0,14.0,14.0,3.0,190.20200000000003
3.995300000000002,CCCCCCCCCCCC#CC(O)=O,37.3,C14H24O2,1.0,1.0,16.0,15.0,9.0,224.34399999999997
0.25570000000000004,CC(=O)OCC[N+](C)(C)C,26.3,C7H16NO2+,2.0,0.0,10.0,9.0,3.0,146.21
2.6205000000000007,OC(=O)Cc1c(Cl)cccc1Cl,37.3,C8H6Cl2O2,1.0,1.0,12.0,12.0,2.0,205.04000000000002
1.6218000000000001,O=C1C=CC(=O)c2ccccc12,34.14,C10H6O2,2.0,0.0,12.0,13.0,0.0,158.156
-0.3294000000000004,NC(N)=NCCCC(CS)C(O)=O,101.70000000000002,C7H15N3O2S,3.0,4.0,13.0,12.0,6.0,205.283
1.7601999999999998,Nc1ncc2cc3cnccc3cc2n1,64.69,C11H8N4,4.0,1.0,15.0,17.0,0.0,196.213
2.695800000000001,Nc1c2CCCCc2nc2ccccc12,38.91,C13H14N2,2.0,1.0,15.0,17.0,0.0,198.26900000000003
2.3164800000000003,Ic1cccc(CC(=O)CC#N)c1,40.86,C10H8INO,2.0,0.0,13.0,13.0,3.0,285.084
-0.7977000000000001,Fc1c[nH]c(=O)[nH]c1=O,65.72,C4H3FN2O2,2.0,2.0,9.0,9.0,0.0,130.078
2.3164800000000003,Ic1cccc(CC(=O)CC#N)c1,40.86,C10H8INO,2.0,0.0,13.0,13.0,3.0,285.084
-1.0339000000000003,NC(CCP(O)(O)=O)C(O)=O,120.85000000000002,C4H10NO5P,3.0,4.0,11.0,10.0,4.0,183.09999999999997
2.514100000000001,CN(CC#C)Cc1ccc(Br)cc1,3.24,C11H12BrN,1.0,0.0,13.0,13.0,3.0,238.128
1.7437999999999998,OC(=O)c1cc(O)cc(Cl)c1,57.53,C7H5ClO3,2.0,2.0,11.0,11.0,1.0,172.56699999999998
-0.16910000000000014,NC(=S)N\N=C\c1ncccc1N,89.32,C7H9N5S,4.0,3.0,13.0,13.0,2.0,195.251
3.045700000000001,Nc1nc(cs1)-c1ccccc1Cl,38.91,C9H7ClN2S,3.0,1.0,13.0,14.0,1.0,210.689
0.31089999999999984,NC(=O)c1nnc2ccccc2c1N,94.89,C9H8N4O,4.0,2.0,14.0,15.0,1.0,188.19
0.5593000000000001,NC(=S)NN=Cc1ccc(O)cc1,70.64,C8H9N3OS,3.0,3.0,13.0,13.0,2.0,195.247
-0.7977000000000001,Fc1c[nH]c(=O)[nH]c1=O,65.72,C4H3FN2O2,2.0,2.0,9.0,9.0,0.0,130.078
5.0480000000000045,CCCCCCCCCCCCCCC(CO)NCC,32.26,C18H39NO,2.0,2.0,20.0,19.0,16.0,285.516
1.3747,NCCc1c[nH]c2ccc(O)cc12,62.040000000000006,C10H12N2O,2.0,3.0,13.0,14.0,2.0,176.21899999999997
0.478,OC(=O)c1ccnc(c1)C(O)=O,87.49000000000001,C7H5NO4,3.0,2.0,12.0,12.0,2.0,167.11999999999998
1.06637,NC(=N)CCCSCC(CS)C(O)=O,87.17000000000002,C8H16N2O2S2,4.0,4.0,14.0,13.0,8.0,236.362
2.3705,CC(=O)c1cccc2[nH]ccc12,32.86,C10H9NO,1.0,1.0,12.0,13.0,1.0,159.188
3.099800000000001,Clc1oc(=O)c2ccccc2c1Cl,30.21,C9H4Cl2O2,2.0,0.0,13.0,14.0,0.0,215.035
-1.127,N[C@@H](CC(O)=O)C(O)=O,100.62,C4H7NO4,3.0,3.0,9.0,8.0,3.0,133.10299999999998
-1.7388,N[C@@H](CCB(O)O)C(O)=O,103.78,C4H10BNO4,4.0,4.0,10.0,9.0,4.0,146.939
-1.6809999999999998,OP(O)(O)CC(=O)Cn1cncn1,108.47,C5H10N3O4P,7.0,3.0,13.0,13.0,4.0,207.126
0.478,OC(=O)c1ccnc(c1)C(O)=O,87.49000000000001,C7H5NO4,3.0,2.0,12.0,12.0,2.0,167.11999999999998
1.7421,OC(=O)[C@H](S)c1ccccc1,37.3,C8H8O2S,2.0,2.0,11.0,11.0,2.0,168.217
1.8285999999999998,Fc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13FN2,2.0,1.0,14.0,16.0,1.0,192.237
2.2940999999999994,Ic1ccc(cn1)C1CC2CCC1N2,24.92,C11H13IN2,2.0,1.0,14.0,16.0,1.0,300.1430000000001
-1.1216000000000004,[O-]C(=O)[C@@H]1CCCCN1,52.16,C6H10NO2-,3.0,1.0,9.0,9.0,1.0,128.151
-1.4720999999999997,OC(=O)C(=O)CS(O)(=O)=O,108.73999999999998,C3H4O6S,4.0,2.0,10.0,9.0,3.0,168.126
-1.4720999999999997,OC(=O)C(=O)CS(O)(=O)=O,108.73999999999998,C3H4O6S,4.0,2.0,10.0,9.0,3.0,168.126
0.5053000000000001,Nc1nc2ccccc2c(=O)[nH]1,71.77,C8H7N3O,3.0,2.0,12.0,13.0,0.0,161.16399999999996
0.5053000000000001,Nc1nc2ccccc2c(=O)[nH]1,71.77,C8H7N3O,3.0,2.0,12.0,13.0,0.0,161.16399999999996
3.099800000000001,Clc1oc(=O)c2ccccc2c1Cl,30.21,C9H4Cl2O2,2.0,0.0,13.0,14.0,0.0,215.035
3.099800000000001,Clc1oc(=O)c2ccccc2c1Cl,30.21,C9H4Cl2O2,2.0,0.0,13.0,14.0,0.0,215.035
3.099800000000001,Clc1oc(=O)c2ccccc2c1Cl,30.21,C9H4Cl2O2,2.0,0.0,13.0,14.0,0.0,215.035
3.099800000000001,Clc1oc(=O)c2ccccc2c1Cl,30.21,C9H4Cl2O2,2.0,0.0,13.0,14.0,0.0,215.035
2.2185699999999997,Clc1ccc(CN2CCSC2=N)cn1,39.980000000000004,C9H10ClN3S,3.0,1.0,14.0,15.0,2.0,227.72000000000003
0.47799999999999987,OC(=O)c1cccc(n1)C(O)=O,87.49000000000001,C7H5NO4,3.0,2.0,12.0,12.0,2.0,167.11999999999998
1.0821,CC(C)C[C@H](CN)CC(O)=O,63.32,C8H17NO2,2.0,2.0,11.0,10.0,5.0,159.229
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
